都道府県,市区町村,環境基本計画,区域施策編,事務事業編等,備考・根拠,確度
福島県,川内村,確認できず,確認できず,確認できず,県情報で実行計画は「検討中」との記載あり,中
福島県,双葉町,確認できず,確認できず,確認できず,「双葉町再生可能エネルギー活用・推進計画」H28.3策定,中
福島県,葛尾村,確認できず,確認できず,確認できず,第五次葛尾村振興計画のみ,中
福島県,新地町,確認できず,確認できず,あり(事務事業編),「新地町役場地球温暖化対策実行計画(事務事業編)」。環境未来都市/スマートコミュニティ事業,高
岩手県,西和賀町,確認できず,確認できず,確認できず,岩手県「いわて脱炭素経営カルテ」の対象,中
岩手県,野田村,確認できず,確認できず,確認できず,野田村総合計画(H28-R7)のみ,中
岩手県,九戸村,確認できず,確認できず,確認できず,再エネ導入計画策定業務を公募。2050CN・エネルギー自給率100%以上を目標,中
山形県,山辺町,確認できず,確認できず,確認できず,第5次総合計画(2018-2027)のみ,中
山形県,中山町,確認できず,確認できず,確認できず,第6次総合発展計画(R3.3)のみ,中
山形県,大石田町,確認できず,確認できず,あり(区分不明),町HP計画一覧に地球温暖化対策実行計画を掲載,中
山形県,舟形町,確認できず,策定中,-,R7年度「区域施策編」策定支援業務の公募型プロポーザルを実施(履行期限R8.1.16),高
山形県,真室川町,確認できず,確認できず,確認できず,循環型社会形成推進地域計画は策定済,中
山形県,大蔵村,確認できず,確認できず,確認できず,木質バイオマス利用拡大支援事業を実施,中
山形県,戸沢村,確認できず,確認できず,確認できず,第5次総合計画で脱炭素社会に言及,中
山形県,三川町,確認できず,確認できず,あり(事務事業編),「第2次三川町地球温暖化対策実行計画(事務事業編)」,高
宮城県,七ヶ宿町,確認できず,確認できず,確認できず,農林漁業再エネ法の基本計画を策定(営農型太陽光),中
宮城県,村田町,確認できず,確認できず,確認できず,第4次長期総合計画のみ,中
宮城県,川崎町,確認できず,確認できず,確認できず,第6次長期総合計画(R4.3)のみ。検索が川崎市に埋没,中
宮城県,山元町,確認できず,確認できず,確認できず,第6次総合計画(R1.12)のみ,中
宮城県,大郷町,確認できず,確認できず,確認できず,総合計画・地域未来投資促進基本計画のみ,中
宮城県,大衡村,確認できず,確認できず,確認できず,H21地域新エネルギービジョン/バイオマスタウン構想。住民生活課生活環境係が温暖化対策所管,中
宮城県,色麻町,確認できず,確認できず,確認できず,長期総合計画(R3-R12)のみ。隣接の加美町は区域施策編・事務事業編を策定済,中
宮城県,涌谷町,確認できず,確認できず,あり(事務事業編),「涌谷町地球温暖化対策実行計画(事務事業編)」を町HPで公表,高
宮城県,女川町,確認できず,確認できず,確認できず,一般廃棄物処理基本計画のみ確認,中
